Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Arecanut,1997,Whole Year ,Assam,73814.0,56708,2051.4,7024878.38,22882.34,0.796,23.692,33.435,14.779
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.71,23.692,33.435,14.779
Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238,23.692,33.435,14.779
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.052,23.692,33.435,14.779
Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.421,23.692,33.435,14.779
Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.644,23.692,33.435,14.779
Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465,23.692,33.435,14.779
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.92,23.692,33.435,14.779
Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461,23.692,33.435,14.779
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.616,23.692,33.435,14.779
Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.569,23.692,33.435,14.779
Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482,23.692,33.435,14.779
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.343,23.692,33.435,14.779
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272,2051.4,10306625.49,33572.07,0.521,23.692,33.435,14.779
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561,23.692,33.435,14.779
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.555,23.692,33.435,14.779
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.781,23.692,33.435,14.779
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.06,23.692,33.435,14.779
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941,23.692,33.435,14.779
Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487,23.692,33.435,14.779
Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473,23.692,33.435,14.779
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.897,23.692,33.435,14.779
Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.44,23.692,33.435,14.779
Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.418,23.692,33.435,14.779
Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38,23.692,33.435,14.779
Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67,23.692,33.435,14.779
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.26,23.692,33.435,14.779
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.294,25.766,35.922,16.838
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268,25.766,35.922,16.838
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.405,25.766,35.922,16.838
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,25.766,35.922,16.838
Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.438,25.766,35.922,16.838
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.059,25.766,35.922,16.838
Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121,25.766,35.922,16.838
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078,25.766,35.922,16.838
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869,25.766,35.922,16.838
Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585,25.766,35.922,16.838
Ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262,25.766,35.922,16.838
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709,25.766,35.922,16.838
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133,25.766,35.922,16.838
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45,25.766,35.922,16.838
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.515,25.766,35.922,16.838
Jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,25.766,35.922,16.838
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.511,25.766,35.922,16.838
Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.471,25.766,35.922,16.838
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.688,25.766,35.922,16.838
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,25.766,35.922,16.838
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.166,25.766,35.922,16.838
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191,25.766,35.922,16.838
Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312,25.766,35.922,16.838
Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.848,25.766,35.922,16.838
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.234,25.766,35.922,16.838
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.074,25.766,35.922,16.838
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829,25.766,35.922,16.838
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,1266.7,29393920.69,95745.67,91.747,25.766,35.922,16.838
Turmeric,1997,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.453,25.766,35.922,16.838
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548,25.766,35.922,16.838
Arecanut,1997,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.65,23604.95,1.148,25.314,32.314,19.755
Black pepper,1997,Whole Year ,Kerala,173855.0,55520,3252.4,16545780.35,53895.05,0.241,25.314,32.314,19.755
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.41,29782.63,0.589,25.314,32.314,19.755
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054,25.314,32.314,19.755
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819,3252.4,12645713.75,41191.25,22.804,25.314,32.314,19.755
